,book_title,book_recommendation_urls
2323,Camp of Wallenstein,"['https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/']"
2324,"Alice's Adventures in Wonderland (abridged, version 3)","['https://librivox.org/the-wonderful-wizard-of-oz/', 'https://librivox.org/the-pirates-of-penzance-by-william-s-gilbert-and-sir-arthur-sullivan/', 'https://librivox.org/through-the-looking-glass-by-lewis-carroll/', 'https://librivox.org/the-essays-of-francis-bacon/', 'https://librivox.org/sylvie-and-bruno-by-lewis-carroll/']"
2325,First on the Moon,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/the-merry-adventures-of-robin-hood-by-howard-pyle/']"
2326,John Sherman and Dhoya,"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/', 'https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/']"
2327,Southern Horrors: Lynch Law In All Its Phases,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/']"
2328,Secret of the Ninth Planet (Version 2),"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/narrative-of-arthur-gordon-pym/']"
2329,Frog Prince and Other Stories (version 2),"['https://librivox.org/the-pirates-of-penzance-by-william-s-gilbert-and-sir-arthur-sullivan/', 'https://librivox.org/rootabaga-stories-by-carl-sandburg/', 'https://librivox.org/a-childs-garden-of-verses-by-robert-louis-stevenson/', 'https://librivox.org/allan-quatermain-by-h-rider-haggard', 'https://librivox.org/fighting-the-whales-by-robert-michael-ballantyne/']"
2330,Iola Leroy,"['https://librivox.org/barbara-frietchie-by-john-greenleaf-whittier/', 'https://librivox.org/uncle-remus-by-joel-chandler-harris/', 'https://librivox.org/the-gettysburg-address-by-abraham-lincoln-version-2/', 'https://librivox.org/us-historical-documents/', 'https://librivox.org/the-congo-by-vachel-lindsay/']"
2331,Blue Cat of Castle Town,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/the-merry-adventures-of-robin-hood-by-howard-pyle/']"
2332,Memories of Childhood's Slavery Days,"['https://librivox.org/barbara-frietchie-by-john-greenleaf-whittier/', 'https://librivox.org/uncle-remus-by-joel-chandler-harris/', 'https://librivox.org/the-gettysburg-address-by-abraham-lincoln-version-2/', 'https://librivox.org/us-historical-documents/', 'https://librivox.org/the-congo-by-vachel-lindsay/']"
2333,Tale of Freddie Firefly,"['https://librivox.org/persian-self-taught-by-shaykh-hasan/', 'https://librivox.org/unspoken-sermons-by-george-macdonald/', 'https://librivox.org/the-ebb-tide-by-robert-louis-stevenson-and-lloyd-osbourne/', 'https://librivox.org/the-tale-of-freddie-firefly-by-arthur-scott-bailey/', 'https://librivox.org/the-heart-of-philura-by-florence-morse-kingsley/']"
2334,At the Club,"['https://librivox.org/letters-of-two-brides-by-honore-de-balzac/', 'https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/']"
2335,Cabbages and Kings,"['https://librivox.org/the-adventures-of-huckleberry-finn-by-mark-twain/', 'https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/mother-goose-in-prose-by-l-frank-baum/', 'https://librivox.org/ranald-bannermans-boyhood-by-george-macdonald/', 'https://librivox.org/dream-psychology-by-sigmund-freud/']"
2336,Children's Edition of Touching Incidents and Remarkable Answers to Prayer,"['https://librivox.org/the-book-of-micah-asv/', 'https://librivox.org/uneasy-money-by-p-g-wodehouse/', 'https://librivox.org/niels-klims-journey-under-the-ground-by-baron-ludvig-holberg/', 'https://librivox.org/the-unsolved-riddle-of-social-justice-by-stephen-leacock/', 'https://librivox.org/the-exemplary-novels-of-miguel-de-cervantes-saavedra-by-miguel-de-cervantes-saavedra/']"
2337,Peter Pan (version 3 Dramatic Reading),"['https://librivox.org/the-adventures-of-huckleberry-finn-by-mark-twain/', 'https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/']"
2338,Children's Classics in Dramatic Form,"['https://librivox.org/letters-of-two-brides-by-honore-de-balzac/', 'https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/mother-goose-in-prose-by-l-frank-baum/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/']"
2339,Essay Concerning Humane Understanding Book I,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/the-merry-adventures-of-robin-hood-by-howard-pyle/']"
2340,Blackfeet Tales of Glacier National Park,"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/', 'https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/']"
2341,In the Arctic Seas,"['https://librivox.org/king-henry-iv-by-william-shakespeare/', 'https://librivox.org/a-drama-of-exile-by-elizabeth-barrett-browning/', 'https://librivox.org/south-by-ernest-shackleton/', 'https://librivox.org/king-henry-iv-part-2-by-william-shakespeare/', 'https://librivox.org/the-constant-lover-by-sir-john-suckling/']"
2342,Virginians,"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-adventures-of-huckleberry-finn-by-mark-twain/', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/']"
2343,Green Carnation,"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/', 'https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/']"
2344,Sea Lady,"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/', 'https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/']"
2345,Our Knowledge Box,"['https://librivox.org/a-practical-guide-to-self-hypnosis-by-melvin-powers/', 'https://librivox.org/the-verbalist-by-alfred-ayres/', 'https://librivox.org/lessons-on-manners-for-home-and-school-use-by-edith-e-wiggin/', 'https://librivox.org/boyhood-by-leo-tolstoy/', 'https://librivox.org/youth-by-leo-tolstoy/']"
2346,Moorland Cottage,"['https://librivox.org/war-of-the-worlds-solo-by-h-g-wells/', 'https://librivox.org/from-the-earth-to-the-moon-by-jules-verne/', 'https://librivox.org/youth-a-narrative-by-joseph-conrad/', 'https://librivox.org/the-golden-dream-by-rm-ballantyne/', 'https://librivox.org/the-birthday-party-a-story-for-little-folks-by-oliver-optic/']"
2347,Shades of the Wilderness,"['https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/', 'https://librivox.org/barbara-frietchie-by-john-greenleaf-whittier/', 'https://librivox.org/rainbow-valley/', 'https://librivox.org/uncle-remus-by-joel-chandler-harris/', 'https://librivox.org/the-gettysburg-address-by-abraham-lincoln-version-2/']"
2348,Sex: Avoided Subjects Discussed in Plain English (version 2),"['https://librivox.org/the-pirates-of-penzance-by-william-s-gilbert-and-sir-arthur-sullivan/', 'https://librivox.org/dream-days-by-kenneth-grahame/', 'https://librivox.org/an-ideal-husband-by-oscar-wilde/', 'https://librivox.org/night-and-day-by-virginia-woolf/', 'https://librivox.org/the-twilight-of-the-idols-by-friedrich-nietzsche/']"
2349,"Thuvia, Maid of Mars (version 2)","['https://librivox.org/the-gods-of-mars-by-edgar-rice-burroughs/', 'https://librivox.org/the-warlord-of-mars-by-edgar-rice-burroughs/', 'https://librivox.org/the-price-of-love-by-arnold-bennett/', 'https://librivox.org/love-among-the-chickens-by-p-g-wodehouse', 'https://librivox.org/a-room-with-a-view-by-em-forster/']"
2350,George Müller of Bristol,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/the-merry-adventures-of-robin-hood-by-howard-pyle/']"
2351,Short Poetry Collection 123,"['https://librivox.org/art-and-heart-by-ella-wheeler-wilcox/', 'https://librivox.org/cathay-by-ezra-pound/', 'https://librivox.org/a-vagabond-song-by-bliss-carman/', 'https://librivox.org/a-noiseless-patient-spider-by-walt-whitman/', 'https://librivox.org/i-do-not-love-thee-by-caroline-norton/']"
2352,Wilderness; A Journal Of Quiet Adventure In Alaska,"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/', 'https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/']"
2353,Bruce,"['https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/rilla-of-ingleside-by-lucy-maud-montgomery/', 'https://librivox.org/discourse-on-the-method-by-rene-descartes/', 'https://librivox.org/embankment-at-night-before-the-war-outcasts-by-d-h-lawrence/', 'https://librivox.org/the-parenticide-club-by-ambrose-bierce/']"
2354,We of the Never-Never,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-getting-of-wisdom-by-henry-handel-richardson/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/']"
2355,Handful of Stars,"['https://librivox.org/history-of-england-volume-1-chapter-1/', 'https://librivox.org/she-rab-dong-bu-by-nagarjuna/', 'https://librivox.org/the-yellow-fairy-book-by-andrew-lang/', 'https://librivox.org/principles-of-economics-book-1-by-alfred-marshall/', 'https://librivox.org/principles-of-economics-book-2-by-alfred-marshall/']"
2356,Anthem (version 3),"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/', 'https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/']"
2357,Dawn of All,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/dream-psychology-by-sigmund-freud/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/']"
2358,Short Story Collection Vol. 057,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/the-merry-adventures-of-robin-hood-by-howard-pyle/']"
2359,Treatise on Staff Making and Pivoting,"['https://librivox.org/anatomy-of-the-human-body-part-1-by-henry-gray/', 'https://librivox.org/personal-recollections-of-joan-of-arc-by-mark-twain/', 'https://librivox.org/anatomy-of-the-human-body-part-2-by-henry-gray/', 'https://librivox.org/anatomy-of-the-human-body-part-4-by-henry-gray/', 'https://librivox.org/manners-customs-and-dress-during-the-middle-ages-and-during-the-renaissance-period-by-paul-lacroix/']"
2360,Golden Goose Book (version 2),"['https://librivox.org/ranald-bannermans-boyhood-by-george-macdonald/', 'https://librivox.org/american-indian-fairy-tales-by-william-trowbridge-larned/', 'https://librivox.org/andersens-fairy-tales-by-hc-andersen/', 'https://librivox.org/uncle-remus-by-joel-chandler-harris/', 'https://librivox.org/fairy-tales-by-the-brothers-grimm/']"
2361,Life in a Tank,"['https://librivox.org/the-first-battle-of-bull-run-by-pierre-gustave-toutant-beauregard/', 'https://librivox.org/selected-house-of-commons-speeches-by-winston-churchill/', 'https://librivox.org/uneasy-money-by-p-g-wodehouse/', 'https://librivox.org/over-the-top-by-arthur-empey/', 'https://librivox.org/the-eye-of-dread-by-payne-erskine/']"
2362,English Literature: Its History and Its Significance for the Life of the English Speaking World,"['https://librivox.org/wives-and-daughters-by-elizabeth-gaskell/', 'https://librivox.org/beowulf/', 'https://librivox.org/cathay-by-ezra-pound/', 'https://librivox.org/pride-and-prejudice-by-jane-austen/', 'https://librivox.org/the-faerie-queene-book-1-by-edmund-spenser/']"
2363,Atlantic Narratives: Modern Short Stories,"['https://librivox.org/crome-yellow-by-aldous-huxley/', 'https://librivox.org/present-at-a-hanging-by-ambrose-bierce/', 'https://librivox.org/short-story-collection-006/', 'https://librivox.org/little-wizard-stories-of-oz-by-l-frank-baum/', 'https://librivox.org/short-story-collection-001/']"
2364,Mrs. Balfame,"['https://librivox.org/main-street-by-sinclair-lewis/', 'https://librivox.org/middlemarch-by-george-eliot/', 'https://librivox.org/she-by-h-rider-haggard/', 'https://librivox.org/love-and-freindship-by-jane-austen/', 'https://librivox.org/murder-at-bridge-by-anne-austin/', 'https://librivox.org/main-street-by-joyce-kilmer/']"
2365,"Cats: Their Points and Characteristics, with Curiosities of Cat  Life, and a Chapter on Feline Ailments","['https://librivox.org/on-the-popular-judgment-by-immanuel-kant/', 'https://librivox.org/omnilingual-by-h-beam-piper/', 'https://librivox.org/the-book-of-a-thousand-nights-and-a-night-volume-01-by-anonymous/', 'https://librivox.org/famous-men-of-the-middle-ages-by-john-h-haaren-and-a-b-poland/', 'https://librivox.org/famous-men-of-modern-times-by-john-h-haaren-and-ab-poland/']"
2366,Wee Ones' Bible Stories,"['https://librivox.org/ecclesiastes-asv-book-21-of-the-holy-scriptures/', 'https://librivox.org/book-of-judith-douay-rheims-version/', 'https://librivox.org/book-of-jude-kjv-2/', 'https://librivox.org/the-song-of-songs-by-solomon/', 'https://librivox.org/the-book-of-jonah/']"
2367,Strophes of Omar Khayyám,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/the-importance-of-being-earnest-by-oscar-wilde/']"
2368,Sportsman's Sketches,"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/', 'https://librivox.org/mother-goose-in-prose-by-l-frank-baum/']"
2369,"Astounding Stories 04, April 1930","['https://librivox.org/danse-russe-by-william-carlos-williams/', 'https://librivox.org/long-poems-collection-001/', 'https://librivox.org/the-complete-public-domain-poems-of-wallace-stevens-volume-1-of-2/', 'https://librivox.org/what-men-live-by-and-other-tales-by-leo-tolstoy/', 'https://librivox.org/african-american-collection-july-2007/']"
2370,Flying for France - With the American Escadrille at Verdun,"['https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/', 'https://librivox.org/rilla-of-ingleside-by-lucy-maud-montgomery/', 'https://librivox.org/embankment-at-night-before-the-war-outcasts-by-d-h-lawrence/', 'https://librivox.org/the-flag-goes-by-by-henry-holcomb-bennett/', 'https://librivox.org/from-october-to-brest-litovsk-by-leon-d-trotsky/']"
2371,Young Woman's Guide to Excellence,"['https://librivox.org/poems-by-marianne-moore/', 'https://librivox.org/the-old-maids-club-by-israel-zangwill/', 'https://librivox.org/this-side-of-paradise-2-by-f-scott-fitzgerald/', 'https://librivox.org/esther-asv/', 'https://librivox.org/the-worm-ouroboros-by-e-r-eddison/']"
2372,Through Glacier Park; Seeing America First With Howard Eaton (version 2),"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/', 'https://librivox.org/mother-goose-in-prose-by-l-frank-baum/']"
2373,German Deserter's War Experience,"['https://librivox.org/the-three-musketeers-by-alexandre-dumas/', 'https://librivox.org/chapters-from-my-authobiography-by-mark-twain/', 'https://librivox.org/the-flag-goes-by-by-henry-holcomb-bennett/', 'https://librivox.org/adventures-of-pinocchio-by-c-collodi/', 'https://librivox.org/the-gettysburg-address-by-abraham-lincoln/']"
2374,Beowulf (version 2),"['https://librivox.org/the-divine-comedy-by-dante-alighieri/', 'https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/']"
2375,"Treasury of David, Vol. 3 (Abridged)","['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/the-merry-adventures-of-robin-hood-by-howard-pyle/']"
2376,Pinocchio,"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/', 'https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/']"
2377,"Knickerbocker's History of New York, Vol. 1","['https://librivox.org/the-last-of-the-mohicans-by-james-fenimore-cooper/', 'https://librivox.org/my-man-jeeves-by-p-g-wodehouse/', 'https://librivox.org/a-connecticut-yankee-in-king-arthurs-court-by-mark-twain/', 'https://librivox.org/declaration-of-rights-by-the-stamp-act-congress-of-1765/', 'https://librivox.org/danse-russe-by-william-carlos-williams/']"
2378,"Dallam's Travels with an Organ to the Grand Signieur, 1599-1600","['https://librivox.org/rewards-and-fairies-by-rudyard-kipling/', 'https://librivox.org/three-ghost-stories-by-charles-dickens/', 'https://librivox.org/1601-by-mark-twain/', 'https://librivox.org/stickeen-by-john-muir/', 'https://librivox.org/queen-elizabeth-by-jacob-abbott/', 'https://librivox.org/queen-elizabeth-by-edward-spencer-beesly/', 'https://librivox.org/queen-elizabeth-by-mandell-creighton/']"
2379,Ways of Wood Folk,"['https://librivox.org/the-card-by-arnold-bennett/', 'https://librivox.org/uncle-remus-by-joel-chandler-harris/', 'https://librivox.org/the-warden-by-anthony-trollope/', 'https://librivox.org/the-jesuit-missions-a-chronicle-of-the-cross-in-the-wilderness/', 'https://librivox.org/thus-spake-zarathustra-by-friedrich-nietzsche/']"
2380,Mayor of Casterbridge (version 3),"['https://librivox.org/us-historical-documents/', 'https://librivox.org/my-mark-twain-by-william-dean-howells/', 'https://librivox.org/the-handy-cyclopedia-of-things-worth-knowing-by-joseph-trienens/', 'https://librivox.org/an-old-fashioned-girl-by-lousia-may-alcott/', 'https://librivox.org/sailing-alone-around-the-world-by-joshua-slocum/']"
2381,Fire - Flowers,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/the-canterville-ghost-by-oscar-wilde/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/']"
2382,Story of Doctor Dolittle (version 3),"['https://librivox.org/hamlet-by-william-shakespeare/', 'https://librivox.org/twelfth-night-by-william-shakespeare/', 'https://librivox.org/the-pirates-of-penzance-by-william-s-gilbert-and-sir-arthur-sullivan/', 'https://librivox.org/the-story-of-doctor-dolittle-by-hugh-lofting/', 'https://librivox.org/the-story-of-the-treasure-seekers-by-e-nesbit/']"
2383,What the Mother of a Deaf Child Ought to Know,"['https://librivox.org/concerning-cats-by-helen-m-winslow/', 'https://librivox.org/the-good-soldier-by-ford-madox-ford/', 'https://librivox.org/annes-house-of-dreams-by-lucy-maud-montgomery/', 'https://librivox.org/plan-and-preface-to-a-dictionary-of-english-by-samuel-johnson/', 'https://librivox.org/floor-games/']"
2384,Bull Hunter,"['https://librivox.org/common-sense-by-thomas-paine/', 'https://librivox.org/meditations-on-first-philosophy-by-rene-descartes/', 'https://librivox.org/the-peterkin-papers-version-2-by-lucretia-p-hale/', 'https://librivox.org/its-a-good-old-world-by-bruce-barton/', 'https://librivox.org/canadas-one-hundred-days-part-on-by-john-livesay/']"
2385,Short Nonfiction Collection Vol. 031,"['https://librivox.org/short-poetry-collection-001/', 'https://librivox.org/short-poetry-collection-002/', 'https://librivox.org/short-poetry-collection-003/', 'https://librivox.org/short-story-collection-006/', 'https://librivox.org/long-poems-collection-001/']"
2386,Sanctuary (version 2),"['https://librivox.org/the-oresteia-by-aeschylus/', 'https://librivox.org/romeo-and-juliet-version-2-by-william-shakespeare/', 'https://librivox.org/ozma-of-oz-dramatic-reading-by-l-frank-baum/', 'https://librivox.org/much-ado-about-nothing-by-william-shakespeare/', 'https://librivox.org/lady-windermeres-fan-by-oscar-wilde/']"
2387,"Captain of the Polestar, and other tales","['https://librivox.org/crome-yellow-by-aldous-huxley/', 'https://librivox.org/little-wizard-stories-of-oz-by-l-frank-baum/', 'https://librivox.org/reginald-by-saki/', 'https://librivox.org/the-adventures-of-sherlock-holmes/', 'https://librivox.org/the-lost-world/']"
2388,Letters from a Cat,"['https://librivox.org/the-three-musketeers-by-alexandre-dumas/', 'https://librivox.org/the-eclogues-by-publius-vergilius-maro/', 'https://librivox.org/a-calendar-of-sonnets-by-helen-hunt-jackson/', 'https://librivox.org/american-indian-fairy-tales-by-william-trowbridge-larned/', 'https://librivox.org/art-and-heart-by-ella-wheeler-wilcox/']"
2389,Adventures of Prickly Porky,"['https://librivox.org/the-innocents-abroad-by-mark-twain/', 'https://librivox.org/rewards-and-fairies-by-rudyard-kipling/', 'https://librivox.org/the-burgess-animal-book-for-children-by-thornton-w-burgess', 'https://librivox.org/howards-end-by-em-forster/', 'https://librivox.org/all-round-the-year-by-e-nesbit-and-s-nesbit/']"
2390,My Path to Atheism,"['https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/beyond-good-and-evil-by-friedrich-nietzsche/', 'https://librivox.org/china-and-the-chinese-by-herbert-allen-giles/', 'https://librivox.org/one-hundred-verses-from-old-japan-by-teika-porter/', 'https://librivox.org/jude-the-obscure-by-thomas-hardy/']"
2391,Tenting To-Night; A Chronicle Of Sport And Adventure In Glacier Park And The Cascade Mountains,"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/', 'https://librivox.org/mother-goose-in-prose-by-l-frank-baum/']"
2392,Coffee Break Collection 009 - Autumn,"['https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/spirits-in-bondage-by-cs-lewis/', 'https://librivox.org/short-poetry-collection-001/', 'https://librivox.org/short-poetry-collection-002/', 'https://librivox.org/short-poetry-collection-003/']"
2393,Half Century of Conflict,"['https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/', 'https://librivox.org/the-three-musketeers-by-alexandre-dumas/', 'https://librivox.org/the-eclogues-by-publius-vergilius-maro/', 'https://librivox.org/art-and-heart-by-ella-wheeler-wilcox/', 'https://librivox.org/anne-of-the-island-by-lucy-maud-montgomery/']"
2394,My Life in Christ: Extracts from the Diary of Saint John of Kronstadt,"['https://librivox.org/berkeleys-treatise/', 'https://librivox.org/lord-of-the-world-by-robert-hugh-benson/', 'https://librivox.org/come-rack-come-rope-by-robert-hugh-benson/', 'https://librivox.org/the-life-and-doctrine-of-st-catherine-of-genoa/', 'https://librivox.org/ecclesiastes-from-youngs-literal-translation/']"
2395,Golden Treasury of the Best Songs and Lyrical Pieces In the English Language,"['https://librivox.org/the-diary-of-a-nobody-by-george-weedon-grossmith/', 'https://librivox.org/poems-of-gerard-manley-hopkins/', 'https://librivox.org/history-of-england-volume-1-chapter-1/', 'https://librivox.org/paradise-lost-by-john-milton/', 'https://librivox.org/selected-poems-of-john-clare-volume-2/']"
2396,Bishop's Secret,"['https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/beyond-good-and-evil-by-friedrich-nietzsche/', 'https://librivox.org/death-be-not-proud-by-john-donne/', 'https://librivox.org/our-mutual-friend-by-charles-dickens/', 'https://librivox.org/the-innocents-abroad-by-mark-twain/']"
2397,Story of Garfield,"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/', 'https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/']"
2398,Dream Play,"['https://librivox.org/letters-of-two-brides-by-honore-de-balzac/', 'https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/']"
